district,samples,actual_floods,predicted_floods,TP,FP,FN,TN,recall,false_alarm_rate
Almora,365,0,59,0,59,0,306,0.0,0.16164383561643836
Bageshwar,365,0,89,0,89,0,276,0.0,0.24383561643835616
Chamoli,365,9,253,8,245,1,111,0.8888888888888888,0.6882022471910112
Champawat,365,0,49,0,49,0,316,0.0,0.13424657534246576
Dehra Dun,365,6,182,4,178,2,181,0.6666666666666666,0.4958217270194986
Haridwar,365,0,0,0,0,0,365,0.0,0.0
Naini Tal,365,0,52,0,52,0,313,0.0,0.14246575342465753
Pauri Garhwal,365,0,0,0,0,0,365,0.0,0.0
Pithoragarh,365,3,112,2,110,1,252,0.6666666666666666,0.30386740331491713
Rudra Prayag,365,19,48,13,35,6,311,0.6842105263157895,0.10115606936416185
Tehri Garhwal,365,9,51,7,44,2,312,0.7777777777777778,0.12359550561797752
Udham Singh Nagar,365,3,55,0,55,3,307,0.0,0.15193370165745856
Uttarkashi,365,6,153,1,152,5,207,0.16666666666666666,0.4233983286908078
