month,month_name,samples,actual_floods,predicted_floods,TP,FP,FN,TN,recall,false_alarm_rate
1,January,403,0,42,0,42,0,361,0.0,0.10421836228287841
2,February,364,0,35,0,35,0,329,0.0,0.09615384615384616
3,March,403,0,24,0,24,0,379,0.0,0.05955334987593052
4,April,390,0,52,0,52,0,338,0.0,0.13333333333333333
5,May,403,0,39,0,39,0,364,0.0,0.0967741935483871
6,June,390,6,22,0,22,6,362,0.0,0.057291666666666664
7,July,403,22,221,12,209,10,172,0.5454545454545454,0.5485564304461942
8,August,403,27,275,23,252,4,124,0.8518518518518519,0.6702127659574468
9,September,390,0,191,0,191,0,199,0.0,0.4897435897435897
10,October,403,0,124,0,124,0,279,0.0,0.3076923076923077
11,November,390,0,44,0,44,0,346,0.0,0.11282051282051282
12,December,403,0,34,0,34,0,369,0.0,0.08436724565756824
