feature,coefficient,absolute_coefficient
district_Pauri Garhwal,-3.6573663603716176,3.6573663603716176
district_Haridwar,-3.084558794993271,3.084558794993271
district_Dehra Dun,2.2601353711540186,2.2601353711540186
district_Udham Singh Nagar,1.6570499673697878,1.6570499673697878
district_Rudra Prayag,-1.2650556089799374,1.2650556089799374
district_Naini Tal,1.1003454268730803,1.1003454268730803
mean_elevation,1.0526914197407158,1.0526914197407158
rainfall_max_7d,-1.0301379879968025,1.0301379879968025
rainfall_3d_to_7d,-1.0207294233931035,1.0207294233931035
rainfall_30d,0.7929624289545888,0.7929624289545888
rainfall_max_3d,0.7146413867107276,0.7146413867107276
district_Chamoli,0.5859477032704745,0.5859477032704745
rainfall_3d,-0.5642699468992418,0.5642699468992418
district_Champawat,0.556390078237653,0.556390078237653
soil_moisture,0.4960855285792613,0.4960855285792613
district_Bageshwar,0.4402965819940043,0.4402965819940043
rainfall_7d,0.4238879214236613,0.4238879214236613
district_Almora,0.41409907580490535,0.41409907580490535
rainfall_1d_to_7d,0.34394044294333465,0.34394044294333465
rainfall_1d,0.2784582607978516,0.2784582607978516
rainy_days_7d,-0.2534374605917415,0.2534374605917415
district_Tehri Garhwal,-0.19204774404814298,0.19204774404814298
district_Uttarkashi,0.174391856781277,0.174391856781277
district_Pithoragarh,-0.15654524109176976,0.15654524109176976
rainfall_14d,-0.14044432599433848,0.14044432599433848
mean_slope,0.07984968108038829,0.07984968108038829
