year,month,samples,flood_cases
2020,1,26,0
2020,2,377,0
2020,3,403,0
2020,4,390,0
2020,5,403,0
2020,6,390,0
2020,7,403,6
2020,8,403,3
2020,9,390,0
2020,10,403,0
2020,11,390,0
2020,12,403,0
2021,1,403,0
2021,2,364,3
2021,3,403,0
2021,4,390,0
2021,5,403,3
2021,6,390,0
2021,7,403,9
2021,8,403,3
2021,9,390,0
2021,10,403,21
2021,11,390,0
2021,12,403,0
2022,1,403,0
2022,2,364,0
2022,3,403,0
2022,4,390,0
2022,5,403,0
2022,6,390,0
2022,7,403,3
2022,8,403,9
2022,9,390,6
2022,10,403,0
2022,11,390,0
2022,12,403,0
2023,1,403,0
2023,2,364,0
2023,3,403,0
2023,4,390,0
2023,5,403,0
2023,6,390,6
2023,7,403,22
2023,8,403,27
2023,9,390,0
2023,10,403,0
2023,11,390,0
2023,12,403,0
