threshold,validation_precision,validation_recall,validation_f1,validation_TP,validation_FP,validation_FN,test_precision,test_recall,test_f1,test_TP,test_FP,test_FN,test_predicted_floods
0.05,0.005138452754781616,1.0,0.010224368077250781,18,3485,0,0.015424912689173457,0.9636363636363636,0.03036379260956746,53,3383,2,3436
0.1,0.006089309878213802,1.0,0.0121049092131809,18,2938,0,0.017774617845716316,0.9090909090909091,0.03486750348675035,50,2763,5,2813
0.15,0.00734094616639478,1.0,0.014574898785425101,18,2434,0,0.02239140170174653,0.9090909090909091,0.043706293706293704,50,2183,5,2233
0.2,0.009287925696594427,1.0,0.018404907975460124,18,1920,0,0.026508742244782856,0.8545454545454545,0.05142231947483589,47,1726,8,1773
0.25,0.012,1.0,0.023715415019762844,18,1482,0,0.029661016949152543,0.7636363636363637,0.05710401087695445,42,1374,13,1416
0.3,0.015775635407537247,1.0,0.031061259706643658,18,1123,0,0.03173164097914778,0.6363636363636364,0.06044905008635579,35,1068,20,1103
0.35,0.02214022140221402,1.0,0.04332129963898917,18,795,0,0.03492884864165589,0.4909090909090909,0.06521739130434782,27,746,28,773
0.4,0.035856573705179286,1.0,0.06923076923076923,18,484,0,0.04259634888438134,0.38181818181818183,0.07664233576642336,21,472,34,493
0.45,0.07228915662650602,1.0,0.1348314606741573,18,231,0,0.056338028169014086,0.21818181818181817,0.08955223880597014,12,201,43,213
0.5,0.4,1.0,0.5714285714285714,18,27,0,0.09523809523809523,0.03636363636363636,0.05263157894736842,2,19,53,21
0.55,0.72,1.0,0.8372093023255814,18,7,0,0.0,0.0,0.0,0,2,55,2
0.6,0.8571428571428571,1.0,0.9230769230769231,18,3,0,0.0,0.0,0.0,0,2,55,2
0.65,0.9473684210526315,1.0,0.972972972972973,18,1,0,0.0,0.0,0.0,0,0,55,0
0.7,1.0,0.9444444444444444,0.9714285714285714,17,0,1,0.0,0.0,0.0,0,0,55,0
0.75,1.0,0.8888888888888888,0.9411764705882353,16,0,2,0.0,0.0,0.0,0,0,55,0
0.8,1.0,0.7777777777777778,0.875,14,0,4,0.0,0.0,0.0,0,0,55,0
0.85,1.0,0.6666666666666666,0.8,12,0,6,0.0,0.0,0.0,0,0,55,0
0.9,1.0,0.5,0.6666666666666666,9,0,9,0.0,0.0,0.0,0,0,55,0
